EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/56
MP-188/ 2022-2023
MADHYA PRADESH
Ravishankar College of Pharmacy, Ayodhya Byepass Road Bhanpura Square  Bhopal- 462 010 (Madhya Pradesh (Formerly known as Shri Ravishankar College of Pharmacy,  Bhopal, Bypass Road, Bhanpur Square, Bhopal- 462 010.)
PCI – 1741",,,,,,,,,,,,,,"B.Pharm & M.Pharm
The Registrar,
Rajiv Gandhi Proudyogiki Vishwavidyalaya
Airport, Byepass Road, Gandhi Nagar,
Bhopal – 462 036.(Madhya Pradesh)",,,"B.Pharm
B.Pharm  course  is  already  approved upto 2022-2023 academic session.
Reduce intake from 100 (which was granted in 2021-2022)  to 60 from 2022-2023 academic session for B.Pharm course as teaching staff is less than prescribed as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?   The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014
M. Pharm
M.Pharm (Pharmaceutics)-09 (Reduce intake from 12 to 09 -as teaching staff is not qualified as per M.Pharm Regulations)
M.Pharm (Pharmacology)- 09"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/57
MP-189/ 2022-2023
MADHYA PRADESH
Gyanodaya Institute of Pharmacy, Khasra No 397 398 402 410/2, Vill Suwakheda, Teh. Jawad, Distt. Neemuch- 458468
PCI – 3242",,,,,,,,,,,,,,"D.Pharm
The Secretary,
Rajiv Gandhi Proudyogiki Viswavidyalaya, Polytechnic Division, A-4 Office Complex Gautam Nagar, Near Chetak Bridge Bhopal-462023 (Madhya Pradesh)
B.Pharm
The Registrar,
Rajiv Gandhi Proudyogiki Vishwavidyalaya
Airport, Byepass Road, Gandhi Nagar,
Bhopal – 462 036. (Madhya Pradesh)",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Granted approval for 2022-2023 academic session for conduct of 4th year for 100 admissions for B.Pharm course.
Allow 100 admissions in 2022-2023 academic session in 1st year."
"374EC/58
PB- 109/2022-2023
PUNJAB
Lala Lajpat Rai College of Pharmacy Near P S Sadar Moga Ferozepur G T Road Moga Punjab
PCI – 1184",,,,,,,,,,,,,,"D.Pharm
The Director (Academics) Punjab State Board of Technical Education and Industrial Training,
Plot No. 1A, Sector-36A, Chandigarh.
B.Pharm
The Registrar
Maharaja Ranjit Singh Punjab Technical University, Dabwali Road, Bathinda.",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for B.Pharm course
B.Pharm (Practice)
Granted approval for 2022-2023 academic session for conduct of 2nd year for 40 admissions for B.Pharm (Practice) course.
Allow 40 admissions in 2022-2023 academic session in 1st year."
"374EC/59
PB-110/ 2022-2023
PUNJAB
Lala Lajpatrai Institute Of Pharmacy, Jalandhar Punjab
PCI – 1185",,,,,,,,,,,,,,"D.Pharm
The Director (Academics) Punjab State Board of Technical Education and Industrial Training,
Plot No. 1A, Sector-36A, Chandigarh.",,,"D.Pharm
Extend approval up to 2022-2023 academic session for D.Pharm course.
Reduce intake from 60 to 40 from 2022-2023 academic session for D.Pharm course as the institution has failed to appoint faculty as per statutory provisions
-Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
- Education Regulations, 1991 / 2020 for the Diploma course in Pharmacy"
EC No. / Item No./ Institution Name /ID/ Course,,,,,,,,,,,,,,Examining Authority / Hospital,,,Decisions of 374 EC (22.8.2022)
"374EC/60
PB-111/ 2022-2023
PUNJAB
Rayat Institute Of Pharmacy Railmajra Distt Nawanshahr Punjab
PCI - 1743",,,,,,,,,,,,,,"D.Pharm
The Director (Academics) Punjab State Board of Technical Education and Industrial Training,
Plot No. 1A, Sector-36A, Chandigarh.
B.Pharm & M.Pharm
The Registrar
Punjab Technical University REC Campus Amritsar Byepass
G T Road Ladowali Road Jalandhar Punjab",,,"D.Pharm
Extension of approval upto 2022-2023 academic session for 60 admissions for D.Pharm course
B.Pharm
Extension of approval upto 2022-2023 academic session for B.Pharm course
Reduce intake from 60 to 40 from 2022-2023 academic session for B.Pharm course as teaching staff is less than prescribed as per statutory provisions of -
?   Minimum Qualification for Teachers in Pharmacy Institutions Regulations, 2014.
?    The Bachelor of Pharmacy (B.Pharm) Course Regulations, 2014
M.Pharm
M.Pharm (Pharmaceutics)-06 (Reduce intake from 15 to 06 - as teaching staff is not qualified as per M.Pharm Regulations)
M.Pharm (Pharmacology)- 09
M.Pharm (Pharmaceutical chemistry)- 09
(Reduce intake from 15 to 09 - as teaching staff is not qualified as per M.Pharm Regulations)"
374EC/61,,,,,,,,,,,,,,D.Pharm,,,D.Pharm
PB-112/ 2022-2023,,,,,,,,,,,,,,,,,Extend approval up to 2022-2023
,,,,,,,,,,,,,,The Director (Academics),,,academic session for D.Pharm course.
PUNJAB,,,,,,,,,,,,,,Punjab State Board of,,,
"Punjab Pharmacy College,",,,,,,,,,,,,,,Technical Education and,,,Reduce intake from 60 to 40
"Village sarkapra, Post office",,,,,,,,,,,,,,"Industrial Training,",,,from2022-2023 academic session for
Chunni kalan near sarkapra bus,,,,,,,,,,,,,,"Plot No. 1A, Sector-36A,",,,D.Pharm course as the institution has
stand Dist-Fatehgarh Sahib-,,,,,,,,,,,,,,Chandigarh.,,,failed to appoint faculty as per
140406,,,,,,,,,,,,,,,,,statutory provisions
,,,,,,,,,,,,,,,,,-Minimum Qualification for Teachers
PCI – 2935,,,,,,,,,,,,,,,,,"in Pharmacy Institutions Regulations,"
,,,,,,,,,,,,,,,,,2014.
,,,,,,,,,,,,,,,,,"- Education Regulations, 1991 / 2020"
,,,,,,,,,,,,,,,,,for the Diploma course in Pharmacy
374 EC cleaned version (20.9.2022),,,,,,,,,,,,,,,,,
